,percent_time_idle,hourly_wage
1190,37.9213483146,39.8353273925
1199,24.2718446602,54.1464747238
1202,13.0268340719,50.8092853868
1207,46.9886164184,30.8770459061
1208,18.420322513,57.8933168873
1209,5.99248673092,51.5124341929
1211,15.2147504817,51.6534381166
1214,48.1860238617,45.9428225989
1215,15.3571428571,55.9750862069
1218,9.58456793856,51.6444420349
1219,12.531454454,56.0667528591
1221,33.1247903057,38.7662455654
1223,61.7328519856,21.6668641852
1225,10.8742004264,56.455822366
1226,11.7469050894,51.9434084333
1228,16.4514753208,57.1609663355
1234,9.14644772767,58.5391604297
1235,9.68141079948,58.1654732673
1237,14.5743761296,55.3872341677
1238,27.5838574423,47.8597267404
1245,56.0377782775,26.8819428828
1249,24.0743600633,54.3826559752
1251,5.23157172767,59.4692702382
1253,9.92318987914,53.74693558
1254,11.0423376926,49.9914224656
1255,71.1217183771,17.2942704304
1257,11.2021760137,52.1516861268
1259,44.8963295426,29.5141460302
1261,49.1122159091,30.9665007837
1263,9.34822865648,54.8510992457
1264,12.5565816857,55.8211606086
1265,34.7966894566,36.8839634699
1266,5.41977354322,60.1565103943
1268,6.96202531646,65.8414753383
1273,64.3668122271,25.6781207649
1274,72.3481591495,16.9600670625
1275,6.56809530523,51.4504951458
1280,7.51575157516,56.2460473634
1289,21.9667170953,45.8555751474
1290,14.85144847,56.4146055445
1291,7.48663101604,61.2607191591
1293,12.0869921606,53.4262042745
1296,76.8461882739,17.8851775067
1303,8.00755523523,57.9071038579
1305,15.1418167711,51.3481922249
1310,9.13432835821,56.1912654658
1315,19.0058150116,52.2539670966
1318,29.3264641657,50.443109107
1319,34.6311991273,38.3586936078
1321,50.3344481605,27.1440041518
1323,23.6368247527,36.0336869354
1330,17.6452762781,52.2598821802
1337,27.0166453265,39.3600052982
1340,5.45165141265,55.8932152278
1342,22.7719343253,54.7952821075
1346,42.5581395349,35.796
1349,6.58961668071,54.9649471284
1350,16.2187140173,50.3570057405
1351,8.53703199391,56.8670489197
1352,19.1625492838,44.9304965125
1353,9.34196332255,62.0616270506
1354,17.2942666918,53.2229458736
1355,27.2004889976,46.6625200236
1357,12.5260376746,51.6195264136
1359,10.770156438,52.9068841031
1361,58.4203140075,31.0340472251
1366,38.0760368664,31.5334419196
1368,11.8667790503,52.6370880242
1370,38.0929678188,37.6257778143
1371,56.4459930314,25.3621146221
1374,28.0898876404,39.6097636575
1376,7.2656530841,56.2866726118
1378,6.30478074156,56.4489312573
1380,31.5543680297,36.9885751827
1381,20.4498298614,42.8482432367
1382,72.839109479,15.4631928011
1383,47.2727272727,37.6622445141
1385,20.5406951795,47.7215999613
1392,7.57935102336,58.4723340823
1394,35.79428106,51.4840736539
1398,16.8662155128,53.890703477
1400,25.8535576749,45.5146104547
1401,33.7579617834,38.4067823413
1405,56.3702195067,26.0957293988
1406,11.2645223836,49.6576764078
1408,56.3025210084,22.2500376702
1409,5.80474934037,50.8100045492
1412,6.39008214636,59.4275846476
1417,38.123752495,40.0329878175
1418,6.71756051359,59.3162688006
1419,6.45005474335,55.5531832203
1421,16.2878787879,49.824184953
1424,27.1126760563,37.2577489072
1425,66.6101694915,17.7303331385
1430,19.8439455026,31.9399643811
1431,44.347352661,39.2555328706
1432,9.96983466341,59.0629021661
1433,11.6281932902,46.3467379883
1435,53.8769630749,29.7687669533
1441,51.5749176197,28.092252575
1443,67.578125,19.0002801724
1445,42.5633958104,37.9863437631
1446,10.1896367521,64.1863395225
1448,16.5627668659,53.9079831562
1451,46.1159062885,32.524750202
1453,7.43152744917,65.4155174488
1454,14.0253783825,64.1116142739
1457,34.5821467151,41.7005252161
1461,5.07433535073,56.7429006672
1466,8.37304288632,57.1053707659
1468,61.4093959732,33.3393936589
1469,20.652173913,51.5859850075
1470,38.4615384615,36.506938271
1472,14.8251549709,50.3495383099
1473,21.7275627185,49.0001320921
1475,23.7369158493,59.3147670787
1477,14.2781033564,48.2686767218
1478,8.34243085881,54.2534359557
1488,6.5404475043,53.328437296
1489,23.5174691403,45.3050801893
1492,38.1679389313,43.7935246117
1493,11.0938257975,51.955600009
1494,41.2546353523,56.2510549422
1495,47.572815534,50.8797589555
1497,5.66909709753,55.53132004
1499,42.3582220276,32.6944572382
1500,5.67275737398,63.8414146549
1502,10.9086211212,62.2225354254
1504,51.7191977077,25.6125363106
